Mechanism,Operation,Speed (MBs)
Raw I/O [4K],WRITE,124.6
Raw I/O [4K],READ,124.4
Raw I/O [512K],WRITE,381.2
Raw I/O [512K],READ,474.9
Raw I/O [1M],WRITE,398.8
Raw I/O [1M],READ,848.5
Raw I/O [4M],WRITE,414.8
Raw I/O [4M],READ,1008.5
LUKS [4K],WRITE,103.39
LUKS [4K],READ,98.68
LUKS [512K],WRITE,351.1
LUKS [512K],READ,363.2
LUKS [1M],WRITE,387.1
LUKS [1M],READ,647.4
LUKS [4M],WRITE,420.3
LUKS [4M],READ,699.3
eCryptfs [4K],WRITE,94.18
eCryptfs [4K],READ,110.63
eCryptfs [512K],WRITE,210.7
eCryptfs [512K],READ,139.8
eCryptfs [1M],WRITE,218.5
eCryptfs [1M],READ,139.2
eCryptfs [4M],WRITE,217.5
eCryptfs [4M],READ,137.9
fscrypt [4K],WRITE,136.0
fscrypt [4K],READ,103.34
fscrypt [512K],WRITE,346.0
fscrypt [512K],READ,381.0
fscrypt [1M],WRITE,357.5
fscrypt [1M],READ,715.0
fscrypt [4M],WRITE,404.4
fscrypt [4M],READ,820.1
